年別,火災發生次數[次],每日火災發生次數[次],每千戶火災發生次數[次],原因/燈燭,原因/爐火烹調,原因/敬神掃墓祭祖,原因/電氣因素,原因/菸蒂,原因/機械設備,原因/自殺,原因/縱火,原因/玩火,原因/烤火,原因/施工不慎,原因/易燃品自[復]燃,原因/瓦斯漏氣爆炸,原因/化學物品,原因/燃放爆竹,原因/交通事故,原因/天然災害,原因/遺留火種,原因/因燃燒雜草垃圾,原因/原因不明,原因/其他,時間/0:00~3:00,時間/3:00~6:00,時間/6:00~9:00,時間/9:00~12:00,時間/12:00~15:00,時間/15:00~18:00,時間/18:00~21:00,時間/21:00~24:00,處所/客廳,處所/臥室,處所/廚房,處所/辦公室,處所/倉庫,處所/路邊,處所/其他,死亡人數/總計,死亡人數/男,死亡人數/女,受傷人數/總計,受傷人數/男,受傷人數/女,被毀損房屋數[戶],被毀損車輛數[輛],財物損失/總計[千元],財物損失/房屋[千元],財物損失/其他[千元]
102年,142,0.39,0.14,1,10,-,78,16,1,2,15,1,1,2,-,2,-,-,-,-,-,-,-,13,22,21,10,21,15,21,12,20,15,32,10,2,12,2,69,10,6,4,10,5,5,158,80,13958,2842,11116
103年,101,0.28,0.1,3,5,1,52,10,-,2,9,1,1,3,-,2,-,1,-,-,-,-,1,10,16,9,14,12,18,10,14,8,20,20,7,6,7,-,41,10,6,4,18,14,4,120,44,9361,3499,5862
104年,103,0.28,0.1,1,7,-,47,15,1,-,14,-,-,4,-,-,1,-,-,-,-,-,-,13,12,21,9,17,13,10,14,7,12,19,9,7,11,2,43,5,2,3,21,17,4,126,47,31477,18201,13276
105年,165,0.45,0.16,2,7,1,80,21,1,2,27,-,-,4,-,4,1,-,-,-,5,-,-,10,30,24,19,12,26,17,18,19,8,33,13,8,8,1,94,17,13,4,28,16,12,175,72,13318,2039,11279
106年,2721,7.45,2.59,10,1087,41,829,284,47,10,34,6,5,23,-,22,2,8,10,-,41,-,-,262,200,160,246,430,448,439,447,351,88,103,1108,35,37,414,936,22,15,7,29,15,14,326,177,20977,6635,14342
107年,2163,5.93,2.05,3,947,27,583,226,9,5,30,4,2,35,-,25,-,18,6,-,20,-,-,223,196,121,193,326,380,352,303,292,77,75,1000,27,41,231,712,16,9,7,46,34,12,275,196,16713,4526,12187
108年,2149,5.89,2.03,12,919,12,674,208,14,7,39,3,1,20,1,21,-,10,4,-,26,-,-,178,201,122,217,329,347,322,332,279,67,79,975,28,44,202,754,15,8,7,34,20,14,246,170,16742,2858,13884
109年,1940,5.3,1.83,6,874,13,573,203,5,5,30,2,1,26,1,20,1,12,2,-,19,-,-,147,177,117,162,316,325,305,299,239,62,60,940,34,55,183,606,23,18,5,84,51,33,201,192,9791,3671,6120
110年,1637,4.48,1.55,8,658,11,485,217,2,7,26,-,2,15,1,11,-,7,6,-,16,70,1,94,152,100,144,254,280,272,242,193,67,63,691,32,38,131,615,11,8,3,23,13,10,218,153,7840,1556,6284
111年,1552,4.25,1.48,12,617,15,498,168,4,9,26,2,3,21,-,16,1,5,4,-,9,50,1,91,134,84,154,229,235,260,244,212,63,79,673,41,118,544,118,9,7,2,25,15,10,240,208,16502,3405,13097
